outage,earliest,latest,possible_duration_hours,probably_ended,min_estCustAffected,max_estCustAffected,region,latitude,longitude
650068,1570620626,1570623627,0.83,1,1,1,Paradise,39.75142,-121.59797
650069,1570620626,1570833626,59.17,1,290,290,Greenwood,38.91308,-120.91547
650071,1570620626,1570747239,35.17,1,198,198,Napa,38.3542,-122.33275
650072,1570620626,1570630837,2.84,1,245,245,Escalon,37.77307,-120.99127
650073,1570620626,1570806622,51.67,1,214,214,Grass Valley,39.20889,-121.06167
650074,1570620626,1570710616,25.0,1,43,43,Rio Dell,40.49318,-124.1078
650075,1570620626,1570706416,23.83,1,0,0,Trinidad,41.1622,-124.10224
650076,1570620626,1570834832,59.5,1,137,137,Greenwood,38.89519,-120.91155
650077,1570620626,1570764016,39.83,1,1,1,Redding,40.61706,-122.334
650078,1570620626,1570843826,62.0,1,50,403,Upper Lake,39.16979,-122.9068
650079,1570620626,1570710616,25.0,1,20,46,Rio Dell,40.47075,-124.13618
650080,1570620626,1570630837,2.84,1,1,1,Red Bluff,40.1539,-122.22894
650081,1570620626,1570806622,51.67,1,326,416,Grass Valley,39.20323,-121.07905
650082,1570620626,1570620626,0.0,1,1,1,Meadow Vista,39.0068,-120.99956
650083,1570620626,1570707028,24.0,1,148,148,Trinidad,41.16208,-124.10224
650084,1570620626,1570764016,39.83,1,0,1,Auburn,38.89832,-121.06196
650085,1570620626,1570623627,0.83,1,1,1,Pollock Pines,38.73105,-120.61407
650086,1570620626,1570910431,80.5,1,404,603,Downieville,39.55975,-120.82393
650087,1570620626,1570766426,40.5,1,126,1491,Lakeport,39.07666,-122.93342
650088,1570620626,1570833626,59.17,1,89,608,Greenwood,38.89997,-120.90752
650090,1570620626,1570822230,56.0,1,24,24,Butte Valley,39.65479000000001,-121.63554
650091,1570620626,1570711835,25.34,1,2,2,Scotia,40.44686,-124.13994
650092,1570620626,1570622425,0.5,1,1,1,Grass Valley,39.22826,-121.05502
650093,1570620626,1570765221,40.17,1,614,614,Redding,40.61208,-122.38365
650094,1570620626,1570620626,0.0,1,1,1,Eureka,40.79961,-124.17372
650095,1570620626,1570806622,51.67,1,182,838,Grass Valley,39.2015,-121.07837
650096,1570621827,1570825219,56.5,1,13,266,Butte Valley,39.65479000000001,-121.63547
650097,1570621827,1570711835,25.0,1,26,26,Ferndale,40.41725,-124.08948
650098,1570621827,1570840820,60.83,1,217,217,Greenwood,38.89565,-120.87907
650099,1570621827,1570622425,0.17,1,1,1,Nevada City,39.23328,-121.01064
650100,1570621827,1570848022,62.83,1,40,156,Upper Lake,39.18246,-122.96195
650101,1570621827,1570622425,0.17,1,1,1,Grass Valley,39.22942000000001,-121.04807
650102,1570621827,1570910431,80.17,1,199,199,Calpine,39.60797,-120.60683
650103,1570621827,1570765221,39.83,1,879,879,Bella Vista,40.6243,-122.30386
650104,1570621827,1570622425,0.17,1,1,1,Grass Valley,39.2196,-121.05527
650105,1570621827,1570706416,23.5,1,79,79,Blue Lake,40.88012,-123.98022
650106,1570621827,1570840820,60.83,1,302,302,Georgetown,38.89929,-120.85457
650107,1570621827,1570819817,55.0,1,136,507,Grass Valley,39.1524,-121.07745
650108,1570621827,1570825219,56.5,1,124,194,Butte Valley,39.64781,-121.62981
650109,1570621827,1570761629,38.83,1,601,2923,Napa,38.33463,-122.3317
650110,1570621827,1570848022,62.83,1,183,291,Upper Lake,39.15859,-122.98899
650111,1570621827,1570818628,54.67,1,239,239,Bella Vista,40.64775,-122.22164
650112,1570621827,1570919415,82.66,1,350,461,Pine Grove,38.4142,-120.65377
650113,1570621827,1570826433,56.84,1,0,0,Oroville,39.65686,-121.57597
650114,1570621827,1570843826,61.67,1,45,45,Pollock Pines,38.77477,-120.45164
650115,1570621827,1570623627,0.5,1,1,1,Auburn,38.91138,-121.06657
650116,1570621827,1570807224,51.5,1,361,361,Grass Valley,39.19877,-121.06338
650117,1570621827,1570919415,82.66,1,313,313,Volcano,38.46123,-120.65793
650118,1570621827,1570848616,63.0,1,71,138,Upper Lake,39.18935,-122.90088
650119,1570621827,1570826433,56.84,1,65,65,Paradise,39.69829,-121.57104
650120,1570621827,1570756815,37.5,1,15,15,Sausalito,37.85011,-122.49339
650121,1570621827,1570706416,23.5,1,1900,1900,Blue Lake,40.88011,-123.98032
650122,1570622425,1570623627,0.33,1,1,1,Placerville,38.69649,-120.66535
